
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
349	4.15	0.2131 5.9 0.0000 0.2000 0.9000	0.2131 5.9 0.0000 0.2000 0.9000
399	4.58	0.2126 6.0 0.0000 0.2000 0.9000	0.2126 6.0 0.0000 0.2000 0.9000
449	5.01	0.2103 6.2 0.0000 0.2000 0.8000	0.2103 6.2 0.0000 0.2000 0.8000
499	5.44	0.2020 6.3 0.0000 0.1000 0.8000	0.2020 6.3 0.0000 0.1000 0.8000
549	5.88	0.2163 6.3 0.0000 0.1000 0.8000	0.2163 6.3 0.0000 0.1000 0.8000
599	6.33	0.2080 6.6 0.0000 0.2000 0.8000	0.2080 6.6 0.0000 0.2000 0.8000
649	6.81	0.2163 6.5 0.0000 0.3000 0.8000	0.2163 6.5 0.0000 0.3000 0.8000
699	7.26	0.2163 6.5 0.0000 0.3000 0.8000	0.2163 6.5 0.0000 0.3000 0.8000
749	7.71	0.2298 6.6 0.0000 0.3000 0.8000	0.2298 6.6 0.0000 0.3000 0.8000
799	8.15	0.2257 6.8 0.0000 0.3000 0.8000	0.2257 6.8 0.0000 0.3000 0.8000
849	8.67	0.2225 7.0 0.0000 0.3000 0.8000	0.2225 7.0 0.0000 0.3000 0.8000
899	9.12	0.2163 7.4 0.0000 0.3000 0.7000	0.2163 7.4 0.0000 0.3000 0.7000
949	9.55	0.2163 7.4 0.0000 0.3000 0.7000	0.2163 7.4 0.0000 0.3000 0.7000
999	9.97	0.2171 7.3 0.0000 0.3000 0.7000	0.2171 7.3 0.0000 0.3000 0.7000
best_performance: 749	7.71	0.2298 6.6 0.0000 0.3000 0.8000	0.2298 6.6 0.0000 0.3000 0.8000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.72	0.1052 10.7 0.0000 0.0000 0.4000	0.1052 10.7 0.0000 0.0000 0.4000
99	2.13	0.1057 10.6 0.0000 0.0000 0.4000	0.1057 10.6 0.0000 0.0000 0.4000
149	2.52	0.1085 10.2 0.0000 0.0000 0.4000	0.1085 10.2 0.0000 0.0000 0.4000
199	2.91	0.1075 10.1 0.0000 0.0000 0.4000	0.1075 10.1 0.0000 0.0000 0.4000
249	3.30	0.1087 10.0 0.0000 0.0000 0.6000	0.1087 10.0 0.0000 0.0000 0.6000
299	3.69	0.1092 10.0 0.0000 0.0000 0.6000	0.1092 10.0 0.0000 0.0000 0.6000
349	4.14	0.1183 9.7 0.0000 0.0000 0.6000	0.1183 9.7 0.0000 0.0000 0.6000
399	4.59	0.1203 9.6 0.0000 0.0000 0.5000	0.1203 9.6 0.0000 0.0000 0.5000
449	5.05	0.1211 9.6 0.0000 0.0000 0.5000	0.1211 9.6 0.0000 0.0000 0.5000
499	5.49	0.1295 9.4 0.0000 0.0000 0.5000	0.1295 9.4 0.0000 0.0000 0.5000
549	5.94	0.1345 9.3 0.0000 0.0000 0.5000	0.1345 9.3 0.0000 0.0000 0.5000
599	6.40	0.1404 9.1 0.0000 0.0000 0.6000	0.1404 9.1 0.0000 0.0000 0.6000
649	6.89	0.1398 9.2 0.0000 0.0000 0.6000	0.1398 9.2 0.0000 0.0000 0.6000
699	7.34	0.1494 9.1 0.0000 0.1000 0.6000	0.1494 9.1 0.0000 0.1000 0.6000
749	7.81	0.1604 9.2 0.0000 0.1000 0.6000	0.1604 9.2 0.0000 0.1000 0.6000
799	8.26	0.1683 9.2 0.0000 0.2000 0.6000	0.1683 9.2 0.0000 0.2000 0.6000
849	8.76	0.1694 9.1 0.0000 0.2000 0.6000	0.1694 9.1 0.0000 0.2000 0.6000
899	9.24	0.1875 8.9 0.0000 0.2000 0.6000	0.1875 8.9 0.0000 0.2000 0.6000
949	9.67	0.1892 8.8 0.0000 0.2000 0.6000	0.1892 8.8 0.0000 0.2000 0.6000
999	10.14	0.1916 8.7 0.0000 0.2000 0.6000	0.1916 8.7 0.0000 0.2000 0.6000
best_performance: 999	10.14	0.1916 8.7 0.0000 0.2000 0.6000	0.1916 8.7 0.0000 0.2000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.73	0.1716 7.8 0.0000 0.1000 0.6000	0.1716 7.8 0.0000 0.1000 0.6000
99	2.12	0.1653 7.8 0.0000 0.1000 0.7000	0.1653 7.8 0.0000 0.1000 0.7000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.68	0.1532 9.0 0.0000 0.1000 0.6000	0.1532 9.0 0.0000 0.1000 0.6000
99	2.06	0.1561 8.8 0.0000 0.1000 0.6000	0.1561 8.8 0.0000 0.1000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.72	0.2514 7.0 0.0000 0.4000 0.7000	0.2514 7.0 0.0000 0.4000 0.7000
99	2.11	0.2509 7.0 0.0000 0.4000 0.8000	0.2509 7.0 0.0000 0.4000 0.8000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.72	0.1605 9.5 0.0000 0.1000 0.5000	0.1605 9.5 0.0000 0.1000 0.5000
99	2.11	0.1603 9.5 0.0000 0.1000 0.5000	0.1603 9.5 0.0000 0.1000 0.5000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.80	0.1428 8.3 0.0000 0.1000 0.7000	0.1428 8.3 0.0000 0.1000 0.7000
99	2.19	0.1410 7.9 0.0000 0.0000 0.8000	0.1410 7.9 0.0000 0.0000 0.8000
149	2.59	0.1442 7.7 0.0000 0.0000 0.8000	0.1442 7.7 0.0000 0.0000 0.8000
199	3.00	0.1390 7.9 0.0000 0.0000 0.8000	0.1390 7.9 0.0000 0.0000 0.8000
249	3.39	0.1441 7.9 0.0000 0.0000 0.8000	0.1441 7.9 0.0000 0.0000 0.8000
299	3.80	0.1417 8.0 0.0000 0.0000 0.8000	0.1417 8.0 0.0000 0.0000 0.8000
349	4.23	0.1410 8.1 0.0000 0.0000 0.8000	0.1410 8.1 0.0000 0.0000 0.8000
399	4.67	0.1396 8.3 0.0000 0.0000 0.8000	0.1396 8.3 0.0000 0.0000 0.8000
449	5.09	0.1513 8.1 0.0000 0.1000 0.8000	0.1513 8.1 0.0000 0.1000 0.8000
499	5.54	0.1586 8.1 0.0000 0.1000 0.7000	0.1586 8.1 0.0000 0.1000 0.7000
549	6.00	0.1752 8.0 0.0000 0.1000 0.7000	0.1752 8.0 0.0000 0.1000 0.7000
599	6.47	0.1757 7.9 0.0000 0.1000 0.7000	0.1757 7.9 0.0000 0.1000 0.7000
649	6.94	0.1736 8.1 0.0000 0.1000 0.7000	0.1736 8.1 0.0000 0.1000 0.7000
